----------------------------------------------------------
Intel Corporation Matrix Tool Version 2.3a Release
Copyright (c) 2009-2011, Intel Corp. All Rights Reserved.
For use with Intel(R) processors, chipsets and platforms.
Strictly For Intel Internal Use Only.
email: matrix@intel.com
----------------------------------------------------------

,Captured for, 100.1500 seconds,


,----------,----------,----------,
,   P State, Residency,          ,
,----------,----------,----------,
,      P[0],      1400,   0.0000%,
,      P[1],      1100,   0.0000%,
,      P[2],       900,   0.0000%,
,      P[3],       600, 100.0000%,
,----------,----------,----------,
,----------,----------,----------,----------,----------,
, Frequency,Transition, Table     
,----------,----------,----------,----------,----------,
,          ,       600,       900,      1100,      1400,
,----------,----------,----------,----------,----------,
,       600,         0,         0,         0,         0,
,       900,         0,         0,         0,         0,
,      1100,         0,         0,         0,         0,
,      1400,         0,         0,         0,         0,
,----------,----------,----------,----------,----------,
,     Total,Transitions,  0
,----------,----------,----------,----------,----------,


